"","nGene","nUMI","orig.ident","S.Score","G2M.Score","Phase","old.ident"
"A10_P3_M11",2050,14624.81,"A10",-0.0349383728810512,-0.0470341760458571,"G1","A10"
"A11_P1_M11",1573,11933.6,"A11",-0.146681180764063,-0.0126551671590193,"G1","A11"
"A11_P3_M11",1591,11888.79,"A11",0.0158982199205924,-0.0520554495294317,"S","A11"
"A11_P4_M11",2909,19693.54,"A11",-0.0372276424806295,0.0549256064915061,"G2M","A11"
"A12_P3_M11",1211,9186.06,"A12",-0.123421231307837,-0.048599795961062,"G1","A12"
"A12_P6_M11",2715,18240.4,"A12",0.0857933701489952,-0.0826632072671098,"S","A12"
"A2_P1_M11",1139,8914.79,"A2",0.0637993742081509,-0.110964391481083,"S","A2"
"A2_P4_M11",2247,15494.28,"A2",-0.0344702890478596,-0.115999960484597,"G1","A2"
"A3_P1_M11",2881,19709.91,"A3",0.155625484837272,-0.0181574137084915,"S","A3"
"A3_P3_M11",3043,19895.57,"A3",-0.08079207778483,0.00923914245634463,"G2M","A3"
"A4_P3_M11",3179,21295.04,"A4",-0.166952757528237,-0.0189000944350535,"G1","A4"
"A4_P4_M11",2466,17111.7,"A4",-0.017233269039385,0.0860089022259796,"G2M","A4"
"A4_P6_M11",2498,16827.85,"A4",0.0288466271428471,0.00853936615453846,"S","A4"
"A5_P4_M11",2999,20099.45,"A5",0.00774813862475679,-0.0669425062173035,"S","A5"
"A5_P5_M11",3747,23930.09,"A5",-0.0553030660757095,-0.0860711523373545,"G1","A5"
"A6_P1_M11",1806,13669.58,"A6",-0.0338852336129756,-0.0815390855138998,"G1","A6"
"A6_P4_M11",3546,22612.12,"A6",-0.0338792895655808,-0.0385275526393604,"G1","A6"
"A6_P6_M11",3242,21421.85,"A6",0.555760392742689,0.151189266418154,"S","A6"
"A7_P2_M11",1783,12930.6,"A7",0.0748487019492221,-0.0386433546144254,"S","A7"
"A7_P6_M11",2649,17777.14,"A7",0.0855582903546059,-0.0183743794850127,"S","A7"
"A8_P1_M11",2175,15913.26,"A8",0.0462258456955121,-0.133489801250121,"S","A8"
"A8_P6_M11",2650,17784.14,"A8",-0.0537287709500068,-0.0853438669735613,"G1","A8"
"A9_P1_M11",3003,19909.99,"A9",-0.043305409978274,-0.0828415087524196,"G1","A9"
"A9_P4_M11",3095,21132.07,"A9",-0.0806916383543307,0.0834775492213269,"G2M","A9"
"B10_P1_M11",1891,13674.76,"B10",0.0316642522361531,-0.0680691139210305,"S","B10"
"B10_P3_M11",2230,15676.6,"B10",0.00128750133196395,-0.145027741137082,"S","B10"
"B10_P4_M11",2108,14800.68,"B10",-0.00841862444929861,-0.154682320503901,"G1","B10"
"B10_P6_M11",3193,21038.78,"B10",0.147068103818368,-0.00192937820014888,"S","B10"
"B11_P6_M11",2498,17878.58,"B11",-0.0430754378984561,0.0359475016524058,"G2M","B11"
"B12_P3_M11",2176,15416.62,"B12",0.112911887991472,-0.00418425751449536,"S","B12"
"B12_P4_M11",2325,16428.39,"B12",-0.0327768929407574,-0.0608033392027807,"G1","B12"
"B1_P2_M11",1771,14097.67,"B1",-0.0688536143176462,-0.0904880853031669,"G1","B1"
"B1_P4_M11",2577,17795.49,"B1",0.0273037495146398,-0.0797043206983548,"S","B1"
"B2_P1_M11",2124,15287.43,"B2",-0.0548417244605391,0.0442937749009975,"G2M","B2"
"B2_P5_M11",2612,17924.45,"B2",-0.0158629168763778,-0.111252502003979,"G1","B2"
"B2_P6_M11",1860,12996.84,"B2",-0.0384081969172925,-0.044053424976302,"G1","B2"
"B3_P1_M11",2164,15383.47,"B3",-0.0327153293738116,-0.0789149869014708,"G1","B3"
"B3_P5_M11",2967,19620.06,"B3",-0.065900381798408,-0.0428132075299518,"G1","B3"
"B4_P1_M11",2255,16201.3,"B4",0.0694652659435784,0.00717872224031479,"S","B4"
"B4_P4_M11",2864,19377.87,"B4",-0.0272554818721449,0.0545225678324694,"G2M","B4"
"B4_P6_M11",7033,41799.25,"B4",-0.000655373085229755,0.0710061208585217,"G2M","B4"
"B5_P1_M11",1645,12603.3,"B5",-0.146775634459812,-0.0688842543383916,"G1","B5"
"B5_P6_M11",2829,18899.7,"B5",-0.0560738273010385,0.0563678563991118,"G2M","B5"
"B6_P1_M11",2280,16578.52,"B6",0.0373851731885516,-0.0298143081743363,"S","B6"
"B7_P4_M11",2885,19788.8,"B7",-0.109749522288139,-0.0181204442938288,"G1","B7"
"B8_P6_M11",1738,12182.33,"B8",-0.0349901900290328,-0.134527514388655,"G1","B8"
"B9_P2_M11",1304,9780.1,"B9",0.0374953529697659,-0.0282607068031395,"S","B9"
"C10_P4_M11",2332,15969.86,"C10",0.00362593075693679,-0.0793320609835375,"S","C10"
"C10_P6_M11",2687,17727.06,"C10",-0.0529738568070742,-0.0788919683730156,"G1","C10"
"C11_P4_M11",1909,14022.7,"C11",-0.0890665702140337,0.078173024093114,"G2M","C11"
"C11_P6_M11",2373,17397.71,"C11",-0.0763593497530858,-0.0507446685619925,"G1","C11"
"C12_P4_M11",2086,14928.9,"C12",-0.0532932541833047,-0.0670739584407246,"G1","C12"
"C1_P3_M11",2302,16474.01,"C1",0.0404410307876163,-0.112010334322708,"S","C1"
"C1_P4_M11",4930,29129.58,"C1",0.745881682390734,0.569609150415003,"S","C1"
"C2_P6_M11",5445,29077.97,"C2",0.185112322225739,0.00479686182561323,"S","C2"
"C3_P1_M11",2585,18378.33,"C3",-0.0303831489995751,-0.0460710489587512,"G1","C3"
"C4_P1_M11",2196,15987.38,"C4",0.0523177175757755,-0.0726403197420539,"S","C4"
"C4_P3_M11",2835,19307.1,"C4",-0.0321464724225832,0.031530623400997,"G2M","C4"
"C4_P4_M11",2384,16638.58,"C4",0.0515435601098599,-0.153021635823095,"S","C4"
"C4_P6_M11",3370,21773.94,"C4",-0.0665618609919575,0.0685056268118319,"G2M","C4"
"C5_P3_M11",1971,13766.28,"C5",0.0464999460931668,-0.114790626535418,"S","C5"
"C5_P5_M11",2518,17628.37,"C5",0.0683778275910329,-0.0164270719141678,"S","C5"
"C5_P6_M11",2535,17144.11,"C5",-0.122122954327208,-0.0415528214794768,"G1","C5"
"C6_P2_M11",1784,13317.38,"C6",-0.0571803007277863,-0.010407518829209,"G1","C6"
"C6_P3_M11",2165,15467.17,"C6",-0.0827677183369697,-0.107610198602636,"G1","C6"
"C6_P4_M11",5252,30881.25,"C6",0.73391514627836,0.334854187151414,"S","C6"
"C7_P3_M11",2497,17329.09,"C7",0.00331386129609709,-0.0626741882840222,"S","C7"
"C7_P5_M11",2092,15033.35,"C7",-0.091884248245101,-0.0587227890353372,"G1","C7"
"C7_P6_M11",2047,14203.46,"C7",-0.0941980321875401,-0.0474766231048959,"G1","C7"
"C8_P3_M11",1229,9397.72,"C8",-0.110953367149661,-0.139137036004189,"G1","C8"
"C8_P5_M11",3569,22810.89,"C8",-0.0505641243849641,-0.00668968706032874,"G1","C8"
"C9_P1_M11",2717,18551.9,"C9",0.0491966967681601,0.0709412246789464,"G2M","C9"
"C9_P2_M11",2631,17917.27,"C9",-0.0133330119109414,-0.113648537150979,"G1","C9"
"C9_P4_M11",2076,14914.01,"C9",0.0188884932650155,-0.0669737395361442,"S","C9"
"D10_P1_M11",1313,10112.19,"D10",-0.0560546906569547,-0.164970032167693,"G1","D10"
"D10_P6_M11",2395,16318.97,"D10",-0.020160659697719,-0.115239383102979,"G1","D10"
"D11_P6_M11",2237,15782.61,"D11",0.0389120933824736,0.0219081858543986,"S","D11"
"D12_P6_M11",3090,20924.76,"D12",0.00611148202784315,0.051671534658843,"G2M","D12"
"D1_P1_M11",2024,14775.02,"D1",-0.0789264683732674,-0.0300039472732992,"G1","D1"
"D1_P4_M11",2547,17073.27,"D1",-0.155510366151416,0.0351134521151139,"G2M","D1"
"D1_P6_M11",3989,24347.15,"D1",-0.0583916315759958,-0.106623580351828,"G1","D1"
"D2_P4_M11",2407,17048.83,"D2",-0.107039296743506,-0.0177436386411049,"G1","D2"
"D2_P6_M11",2796,18752.32,"D2",0.0572193328115511,-0.0053368638029441,"S","D2"
"D3_P1_M11",2354,16989.91,"D3",-0.0353742440549037,-0.0809466627809628,"G1","D3"
"D3_P3_M11",2220,15465.33,"D3",-0.102518797990526,-0.0757208364329544,"G1","D3"
"D3_P6_M11",2400,17427.39,"D3",0.0317811014755965,-0.00924784927712224,"S","D3"
"D4_P1_M11",1987,14639.04,"D4",-0.115853960477568,0.0181395269813915,"G2M","D4"
"D4_P3_M11",2675,18500.28,"D4",-0.0883691172446868,-0.0914693511234689,"G1","D4"
"D4_P4_M11",2640,18118.66,"D4",-0.0500883841343039,-0.0518950483329908,"G1","D4"
"D4_P6_M11",2515,16930.53,"D4",0.117586895343909,0.0485501091500237,"S","D4"
"D5_P4_M11",2420,16951.73,"D5",-0.000614072541644944,0.0149301206664177,"G2M","D5"
"D5_P5_M11",2342,16237.82,"D5",-0.0629834066581234,-0.0268693432350247,"G1","D5"
"D5_P6_M11",2788,19039.08,"D5",-0.100019820939547,-0.0203026441943561,"G1","D5"
"D6_P1_M11",2196,16894.72,"D6",-0.0471927004856266,-0.0554080694430619,"G1","D6"
"D6_P3_M11",1909,13465.19,"D6",-0.0380695433021432,-0.0776696663324044,"G1","D6"
"D6_P5_M11",4462,27659.95,"D6",0.525545165323903,0.262071242430304,"S","D6"
